event_date,platform,country_code,channel,campaign_name,total_dau,new_users,return_users
2026-06-22,android,IN,unity_ads,SnakeGo_A_IN_CreativeTesting_170326,548,215,333
2026-06-22,android,IN,(organic),(organic),518,62,431
2026-06-22,android,RU,(organic),(organic),139,2,122
2026-06-22,android,DE,(organic),(organic),132,0,127
2026-06-22,android,BR,(organic),(organic),107,3,100
2026-06-22,android,BR,google_ads,SnakeGo_A_Global_AdROAS_220126,88,25,63
2026-06-22,android,FR,(organic),(organic),74,2,61
2026-06-22,android,US,(organic),(organic),67,5,56
2026-06-22,android,ES,(organic),(organic),51,3,44
2026-06-22,android,JP,(organic),(organic),49,2,42
2026-06-22,android,MX,(organic),(organic),45,2,40
2026-06-22,android,IN,organic,(organic),41,3,38
2026-06-22,android,TR,(organic),(organic),40,0,38
2026-06-22,android,IT,(organic),(organic),40,2,34
2026-06-22,android,US,google_ads,SnakeGo_A_Global_AdROAS_220126,38,13,25
2026-06-22,android,TR,google_ads,SnakeGo_A_Global_AdROAS_220126,34,14,20
2026-06-22,android,EG,(organic),(organic),33,1,29
2026-06-22,android,PL,(organic),(organic),33,1,30
2026-06-22,android,UA,(organic),(organic),33,0,27
2026-06-22,android,DE,applovin,SnakeGo_A_Global_AdROASD7_120326,32,5,27
2026-06-22,android,DE,google_ads,SnakeGo_A_Global_AdROAS_220126,30,10,20
2026-06-22,android,AR,(organic),(organic),29,2,27
2026-06-22,android,US,applovin,SnakeGo_A_Global_AdROASD7_120326,29,9,20
2026-06-22,android,FR,google_ads,SnakeGo_A_Global_AdROAS_220126,27,8,19
2026-06-22,android,PK,(organic),(organic),26,2,7
2026-06-22,android,ID,(organic),(organic),24,1,22
2026-06-22,android,IQ,google_ads,SnakeGo_A_Global_AdROAS_220126,24,12,12
2026-06-22,android,RU,unity_ads,SnakeGo_A_Tier3_AdROASD0_160626,23,13,10
2026-06-22,android,CA,(organic),(organic),22,0,21
2026-06-22,android,GB,(organic),(organic),21,0,19
2026-06-22,android,AT,(organic),(organic),20,1,18
2026-06-22,android,NL,(organic),(organic),20,1,18
2026-06-22,android,IQ,(organic),(organic),20,3,16
2026-06-22,android,EG,google_ads,SnakeGo_A_Global_AdROAS_220126,20,2,18
2026-06-22,android,ES,google_ads,SnakeGo_A_Global_AdROAS_220126,20,6,14
2026-06-22,android,UA,google_ads,SnakeGo_A_Global_AdROAS_220126,18,7,11
2026-06-22,android,US,unity_ads,SnakeGo_A_US_AdROASD0_170626,18,12,6
2026-06-22,android,CZ,(organic),(organic),17,0,16
2026-06-22,android,CO,google_ads,SnakeGo_A_Global_AdROAS_220126,17,8,9
2026-06-22,android,IN,google_ads,SnakeGo_A_Global_AdROAS_160626_[MAX],17,3,14
2026-06-22,android,MX,google_ads,SnakeGo_A_Global_AdROAS_220126,15,5,10
2026-06-22,android,ID,google_ads,SnakeGo_A_Global_AdROAS_220126,15,4,11
2026-06-22,android,RU,organic,(organic),15,7,8
2026-06-22,android,RU,applovin,SnakeGo_A_Global_AdROASD7_120326,14,1,13
2026-06-22,android,CO,(organic),(organic),13,1,11
2026-06-22,android,US,unity_ads,SnakeGo_A_US_AdROASD7_270326,13,0,13
2026-06-22,android,PL,google_ads,SnakeGo_A_Global_AdROAS_220126,13,3,10
2026-06-22,android,BR,unity_ads,SnakeGo_A_Tier3_AdROASD7_120326,13,3,10
2026-06-22,android,KR,applovin,SnakeGo_A_Global_AdROASD7_120326,13,9,4
2026-06-22,android,RU,unity_ads,SnakeGo_A_Tier3_AdROASD7_120326,13,0,13
2026-06-22,android,VN,google_ads,SnakeGo_A_Global_AdROAS_220126,12,5,7
2026-06-22,android,PT,(organic),(organic),12,1,11
2026-06-22,android,KR,(organic),(organic),12,0,12
2026-06-22,android,KZ,(organic),(organic),11,0,11
2026-06-22,android,IT,google_ads,SnakeGo_A_Global_AdROAS_220126,11,3,8
2026-06-22,android,BR,organic,(organic),11,3,8
2026-06-22,android,AR,google_ads,SnakeGo_A_Global_AdROAS_220126,10,2,8
2026-06-22,android,MY,(organic),(organic),10,1,7
2026-06-22,android,BE,(organic),(organic),10,0,10
2026-06-22,android,RO,(organic),(organic),10,1,8
2026-06-22,android,IT,applovin,SnakeGo_A_Global_AdROASD7_120326,10,3,7
2026-06-22,android,JP,google_ads,SnakeGo_A_Global_AdROAS_220126,10,4,6
2026-06-22,android,AU,(organic),(organic),10,2,7
2026-06-22,android,HU,(organic),(organic),10,2,8
2026-06-22,android,VN,(organic),(organic),10,1,8
2026-06-22,android,GB,google_ads,SnakeGo_A_Global_AdROAS_220126,10,3,7
2026-06-22,android,ES,applovin,SnakeGo_A_Global_AdROASD7_120326,10,1,9
2026-06-22,android,VE,(organic),(organic),9,0,9
2026-06-22,android,CH,(organic),(organic),9,0,9
2026-06-22,android,UZ,google_ads,SnakeGo_A_Global_AdROAS_220126,9,4,5
2026-06-22,android,SK,(organic),(organic),9,2,7
2026-06-22,android,FR,applovin,SnakeGo_A_Global_AdROASD7_120326,8,2,6
2026-06-22,android,TH,(organic),(organic),8,1,7
2026-06-22,android,SE,(organic),(organic),8,0,8
2026-06-22,android,CL,google_ads,SnakeGo_A_Global_AdROAS_220126,8,5,3
2026-06-22,android,BY,(organic),(organic),8,0,7
2026-06-22,android,AZ,google_ads,SnakeGo_A_Global_AdROAS_220126,8,4,4
2026-06-22,android,CL,(organic),(organic),8,0,8
2026-06-22,android,NL,google_ads,SnakeGo_A_Global_AdROAS_220126,8,0,8
2026-06-22,android,BE,applovin,SnakeGo_A_Global_AdROASD7_120326,8,2,6
2026-06-22,android,VE,google_ads,SnakeGo_A_Global_AdROAS_220126,8,3,5
2026-06-22,android,HK,(organic),(organic),8,0,7
2026-06-22,android,IN,google_ads,SnakeGo_A_Global_AdROAS_070526_[MAX],8,0,8
2026-06-22,android,GB,applovin,SnakeGo_A_Global_AdROASD7_120326,7,3,4
2026-06-22,android,JP,applovin,SnakeGo_A_Global_AdROASD7_120326,7,3,4
2026-06-22,android,TR,applovin,SnakeGo_A_Global_AdROASD7_120326,7,4,3
2026-06-22,android,IR,(organic),(organic),7,1,5
2026-06-22,android,PH,(organic),(organic),7,2,5
2026-06-22,android,MX,unity_ads,SnakeGo_A_Tier3_AdROASD0_160626,7,3,4
2026-06-22,android,TH,google_ads,SnakeGo_A_Global_AdROAS_220126,7,2,5
2026-06-22,android,DE,organic,(organic),7,2,5
2026-06-22,android,BY,google_ads,SnakeGo_A_Global_AdROAS_220126,7,3,4
2026-06-22,android,HU,google_ads,SnakeGo_A_Global_AdROAS_220126,7,3,4
2026-06-22,android,ID,unity_ads,SnakeGo_A_Tier3_AdROASD7_120326,6,1,5
2026-06-22,android,GR,(organic),(organic),6,0,6
2026-06-22,android,BE,google_ads,SnakeGo_A_Global_AdROAS_220126,6,2,4
2026-06-22,android,IR,google_ads,SnakeGo_A_Global_AdROAS_220126,6,1,5
2026-06-22,android,KZ,google_ads,SnakeGo_A_Global_AdROAS_220126,6,1,5
2026-06-22,android,CZ,google_ads,SnakeGo_A_Global_AdROAS_220126,6,2,4
2026-06-22,android,MY,google_ads,SnakeGo_A_Global_AdROAS_220126,6,2,4
2026-06-22,android,PH,google_ads,SnakeGo_A_Global_AdROAS_220126,6,3,3
2026-06-22,android,KR,google_ads,SnakeGo_A_Global_AdROAS_220126,5,3,2
2026-06-22,android,CA,google_ads,SnakeGo_A_Global_AdROAS_220126,5,0,5
2026-06-22,android,UZ,(organic),(organic),5,0,5
