day,installs,cost
2026-04-01,858,269.3021
2026-04-02,1144,357.7345
2026-04-03,1154,374.1836
2026-04-04,1019,410.9022
2026-04-05,1071,649.0555
2026-04-06,1127,689.6164
2026-04-07,1300,714.65
2026-04-08,1404,567.2543
2026-04-09,1594,984.8637
2026-04-10,1167,744.3646
2026-04-11,1204,718.2481
2026-04-12,1651,901.8074
2026-04-13,1371,873.1994
2026-04-14,1598,795.6127
2026-04-15,1485,411.9466
2026-04-16,1882,685.897
2026-04-17,2019,802.6757
2026-04-18,1446,517.3382
2026-04-19,1732,582.5237
2026-04-20,1147,432.8385
2026-04-21,821,408.3506
2026-04-22,1205,491.4796
2026-04-23,1461,659.1899
2026-04-24,1187,471.7389
2026-04-25,829,342.7767
2026-04-26,1248,638.4287
2026-04-27,750,355.9235
2026-04-28,830,292.7196
2026-04-29,748,288.1271
2026-04-30,676,229.0211
2026-05-01,846,347.1534
2026-05-02,932,332.0405
2026-05-03,963,453.7924
2026-05-04,815,403.7618
2026-05-05,913,262.0211
2026-05-06,902,459.3481
2026-05-07,737,453.8485
2026-05-08,748,349.1763
2026-05-09,800,403.0129
2026-05-10,790,417.2688
2026-05-11,658,362.5941
2026-05-12,695,431.997
2026-05-13,612,354.1723
2026-05-14,711,330.3952
2026-05-15,705,398.6122
2026-05-16,748,458.8353
2026-05-17,722,517.6075
2026-05-18,921,633.4771
2026-05-19,875,682.7077
2026-05-20,788,497.0748
2026-05-21,782,450.2649
2026-05-22,748,564.15
2026-05-23,742,477.1677
2026-05-24,878,477.4677
2026-05-25,1011,706.8783
2026-05-26,824,500.6875
2026-05-27,627,431.9315
2026-05-28,580,245.746
2026-05-29,755,375.4976
2026-05-30,719,378.8225
2026-05-31,834,320.8253
2026-06-01,781,451.7423
2026-06-02,719,428.3177
2026-06-03,604,342.1817
2026-06-04,648,367.8826
2026-06-05,718,321.6194
2026-06-06,732,308.7489
2026-06-07,811,463.2938
2026-06-08,651,335.6342
2026-06-09,734,305.5212
2026-06-10,575,217.2914
2026-06-11,624,218.0457
2026-06-12,562,246.9399
2026-06-13,612,266.6006
2026-06-14,659,322.2721
2026-06-15,578,275.1499
2026-06-16,675,287.221
2026-06-17,623,353.5377
2026-06-18,591,278.0207
2026-06-19,371,135.3239
2026-06-20,464,250.7166
2026-06-21,611,282.2358
