event_date,dau,playing_users,playing_rate,total_attempts,avg_attempts,overall_win_rate,overall_fail_rate,median_playtime_per_user,avg_playtime_per_user,median_duration,median_win_duration,median_lose_duration,avg_booster_usage,avg_progress_fail,total_revenue,arpdau,ad_arpdau
2026-06-23,3801,3574,0.9403,49773,13.93,0.7332,0.2594,595,1594.02,70,72,61,0.15,44.63,330.4894,0.0869,0.086
2026-06-22,3802,3600,0.9469,51182,14.22,0.7348,0.2599,609,1649.95,72,74,60,0.1492,44.67,289.1671,0.0761,0.0761
2026-06-21,3763,3584,0.9524,50715,14.15,0.7417,0.2505,606,1659.55,72,74,62,0.146,44.92,287.761,0.0765,0.0762
2026-06-20,3566,3373,0.9459,47769,14.16,0.7305,0.2646,613,1750.7,75,77,67,0.1354,44.78,240.4863,0.0674,0.0674
2026-06-19,3541,3359,0.9486,47031,14.0,0.7298,0.266,628,1745.32,76,79,66,0.1289,44.35,261.6045,0.0739,0.0739
2026-06-18,3767,3596,0.9546,48441,13.47,0.7509,0.2424,570,1645.87,71,72,65,0.151,45.18,306.3734,0.0813,0.0813
2026-06-17,3949,3737,0.9463,49098,13.14,0.7441,0.2497,536,1570.6,70,71,61,0.1477,44.36,324.8003,0.0822,0.079
2026-06-16,3881,3689,0.9505,50065,13.57,0.7468,0.2469,516,1659.59,71,73,63,0.1533,44.73,293.4127,0.0756,0.0756
2026-06-15,3841,3647,0.9495,48748,13.37,0.7453,0.2503,572,1654.08,72,74,62,0.1562,44.81,286.1923,0.0745,0.0745
2026-06-14,3996,3795,0.9497,52239,13.77,0.746,0.2496,547,1639.59,70,72,62,0.1457,43.54,296.5925,0.0742,0.0742
2026-06-13,3869,3684,0.9522,50449,13.69,0.7516,0.2427,566,1644.03,71,73,58,0.1482,43.39,267.5777,0.0692,0.0686
2026-06-12,3865,3657,0.9462,49839,13.63,0.7478,0.247,581,1725.85,75,77,64,0.1372,44.1,279.3494,0.0723,0.0723
