"level","playing_users","total_out_of_lives_users","out_of_lives_dropped","out_of_lives_passed_sameday","out_of_lives_passed_later","win_dropped_users_cohort","lose_dropped_users_cohort","win_dropped_users_realtime","lose_dropped_users_realtime","rw_heart_imp","rw_home_heart_imp"
"1","2466","1","0","1","0","9","37","9","37","0","0"
"2","2419","1","0","1","0","5","27","5","27","0","1"
"3","2387","1","0","1","0","3","8","3","8","0","0"
"4","2375","0","0","0","0","7","52","7","52","0","1"
"5","2316","13","6","7","0","58","67","58","70","0","2"
"6","2197","32","21","10","1","40","119","41","120","1","0"
"7","2038","9","1","8","0","21","16","21","17","0","1"
"8","2002","11","3","8","0","35","31","35","31","0","0"
"9","1934","9","1","8","0","22","21","22","22","0","0"
"10","1890","7","3","4","0","36","42","36","42","0","0"
"11","1813","9","1","8","0","43","5","43","5","0","0"
"12","1763","12","1","10","1","24","16","24","16","0","0"
"13","1722","9","1","8","0","19","4","20","4","0","0"
"14","1698","13","0","12","1","25","21","26","21","0","2"
"15","1651","8","0","8","0","155","2","155","3","0","0"
"16","1492","14","2","12","0","117","25","122","26","0","0"
"17","1344","8","1","6","1","66","6","67","6","0","0"
"18","1273","9","0","9","0","83","17","83","17","0","0"
"19","1175","11","4","6","1","59","18","60","18","0","0"
"20","1098","7","0","6","1","62","12","65","13","1","3"
"21","1020","12","1","10","1","39","12","43","13","0","1"
"22","968","16","1","12","3","46","13","49","13","0","1"
"23","906","10","2","7","1","34","5","35","5","0","2"
"24","863","14","1","13","0","26","7","33","9","0","0"
"25","826","78","31","40","7","20","138","22","151","3","20"
"26","651","13","0","13","0","19","7","19","8","0","0"
"27","622","13","0","13","0","15","1","16","1","0","0"
"28","604","15","1","14","0","14","3","14","4","0","2"
"29","589","13","0","13","0","6","2","6","2","0","0"
"30","580","23","1","22","0","20","3","20","3","0","6"
"31","556","15","1","13","1","13","2","14","2","0","0"
"32","541","13","1","12","0","6","2","8","2","0","0"
"33","530","12","0","12","0","10","2","10","2","0","0"
"34","518","10","1","9","0","11","0","12","0","0","0"
"35","508","18","4","13","1","15","10","16","11","0","2"
"36","481","10","0","10","0","9","5","11","5","0","1"
"37","466","5","0","5","0","8","1","9","1","0","0"
"38","455","6","0","6","0","5","1","7","1","0","0"
"39","448","9","0","8","1","8","4","9","4","0","0"
"40","436","59","22","32","5","11","48","11","55","7","26"
"41","371","30","9","19","2","6","30","6","30","3","4"
"42","334","21","1","17","3","3","4","4","4","4","4"
"43","325","23","0","22","1","8","4","8","6","1","0"
"44","313","106","63","38","5","3","114","4","145","23","51"
"45","164","11","0","11","0","2","1","2","1","0","0"
"46","161","11","0","11","0","0","0","0","0","0","0"
"47","161","12","0","11","1","3","1","3","1","0","3"
"48","157","14","0","14","0","1","2","2","2","1","1"
"49","153","11","3","8","0","1","5","2","7","0","6"
"50","143","6","0","6","0","4","2","5","2","2","1"
"51","135","5","0","5","0","2","3","2","3","0","0"
"52","130","3","0","3","0","0","0","0","0","0","0"
"53","129","2","0","2","0","2","0","2","0","2","0"
"54","127","3","0","2","1","1","0","2","0","0","0"
"55","125","2","0","2","0","0","0","0","0","0","0"
"56","125","4","1","3","0","1","0","3","1","0","0"
"57","121","2","0","2","0","0","0","1","0","0","0"
"58","123","5","3","2","0","3","4","4","5","1","0"
"59","114","7","1","6","0","2","4","2","5","1","0"
"60","107","8","1","6","1","1","2","1","3","2","0"
"61","102","4","0","4","0","1","1","1","1","0","0"
"62","101","4","0","3","1","1","0","1","0","0","0"
"63","100","3","0","3","0","3","0","4","0","0","0"
"64","95","3","0","3","0","0","0","1","0","0","0"
"65","94","6","0","6","0","0","0","1","1","1","0"
"66","92","4","1","3","0","1","1","1","1","0","0"
"67","90","4","0","4","0","0","0","0","0","0","0"
"68","89","3","0","3","0","1","0","1","0","0","0"
"69","89","3","0","3","0","2","0","3","0","0","0"
"70","87","5","1","3","1","0","4","0","5","0","0"
"71","82","0","0","0","0","0","0","0","0","0","0"
"72","80","0","0","0","0","0","0","0","0","0","0"
"73","82","2","0","2","0","3","0","3","0","0","0"
"74","79","4","0","4","0","3","1","3","3","0","0"
"75","73","7","0","5","2","3","0","3","0","0","0"
"76","70","3","0","3","0","2","0","3","0","0","0"
"77","67","1","0","1","0","1","0","2","0","0","0"
"78","64","2","0","2","0","0","0","1","0","0","0"
"79","62","2","0","2","0","0","0","0","0","0","0"
"80","64","12","2","8","2","1","11","1","13","6","1"
"81","49","3","0","3","0","0","1","0","1","0","0"
"82","48","3","0","3","0","0","0","0","0","0","0"
"83","48","2","0","2","0","0","0","0","0","0","0"
"84","48","2","0","2","0","0","0","0","0","0","0"
"85","48","2","0","2","0","1","0","2","0","0","0"
"86","46","2","0","2","0","0","0","0","0","0","0"
"87","46","2","0","2","0","1","0","1","0","0","0"
"88","45","3","0","3","0","1","0","2","0","0","0"
"89","43","3","0","3","0","0","0","0","0","0","0"
"90","43","7","1","4","2","0","2","1","3","0","0"
"91","36","1","0","1","0","0","0","0","0","0","0"
"92","37","1","0","1","0","0","0","1","0","0","0"
"93","36","2","0","2","0","1","0","1","1","0","0"
"94","34","3","0","3","0","0","0","0","0","0","0"
"95","34","3","1","2","0","1","0","1","0","0","1"
"96","33","2","0","2","0","0","0","0","0","0","0"
"97","33","2","0","2","0","0","0","0","0","0","0"
"98","33","2","0","2","0","0","0","0","0","0","0"
"99","34","3","0","2","1","0","0","0","0","0","0"
"100","34","5","0","5","0","1","0","2","0","2","0"
"101","32","2","0","2","0","0","0","0","0","0","0"
"102","32","2","0","2","0","0","0","0","0","0","0"
"103","32","2","0","1","1","0","0","0","0","0","0"
"104","32","1","0","1","0","0","0","0","0","0","0"
"105","32","2","0","2","0","1","1","1","1","0","0"
"106","30","3","0","3","0","0","0","0","0","0","0"
"107","30","1","0","1","0","0","0","0","0","0","0"
"108","30","2","0","2","0","0","0","0","0","0","0"
"109","30","2","0","1","1","0","0","1","1","0","1"
"110","28","1","0","1","0","0","0","0","0","0","0"
"111","28","1","0","1","0","0","0","0","0","0","0"
"112","28","1","0","1","0","0","0","1","0","0","0"
"113","27","0","0","0","0","0","0","0","0","0","0"
"114","26","2","0","2","0","0","0","0","0","0","0"
"115","26","2","0","2","0","0","0","0","0","0","0"
"116","27","2","0","2","0","0","0","0","0","0","0"
"117","27","2","0","2","0","0","0","1","0","1","2"
"118","25","2","0","2","0","1","0","1","0","0","0"
"119","24","3","0","3","0","0","0","0","0","0","0"
"120","23","2","0","2","0","0","0","0","0","0","0"
"121","24","2","0","2","0","1","0","2","0","0","0"
"122","22","2","1","0","1","0","0","0","1","0","0"
"123","21","0","0","0","0","0","0","1","0","0","0"
"124","21","3","0","3","0","0","0","0","0","2","0"
"125","21","1","0","1","0","1","0","1","0","0","0"
"126","20","1","0","1","0","0","0","0","0","0","0"
"127","20","1","0","1","0","0","0","0","0","0","0"
"128","20","1","0","1","0","0","0","0","0","0","0"
"129","20","2","0","2","0","0","0","0","1","0","0"
"130","19","0","0","0","0","0","0","0","0","0","0"
"131","19","0","0","0","0","0","0","0","0","0","0"
"132","19","1","0","1","0","0","0","0","0","0","0"
"133","19","1","0","1","0","0","0","0","1","1","0"
"134","18","1","0","1","0","0","0","1","0","1","0"
"135","17","1","0","1","0","0","0","0","0","0","0"
"136","17","1","0","1","0","0","0","0","0","0","0"
"137","17","1","0","1","0","0","0","0","0","0","0"
"138","17","1","0","1","0","0","0","0","0","0","0"
"139","17","1","0","1","0","0","0","0","0","0","0"
"140","17","1","0","1","0","0","0","0","0","0","0"
"141","17","1","0","1","0","0","0","0","0","0","0"
"142","17","1","0","1","0","0","0","1","0","0","0"
"143","17","1","0","1","0","0","0","0","0","0","0"
"144","16","1","0","1","0","0","0","0","0","0","0"
"145","16","1","0","1","0","0","0","0","0","0","0"
"146","16","1","0","1","0","0","0","0","0","0","0"
"147","16","0","0","0","0","0","0","0","0","0","0"
"148","16","0","0","0","0","0","0","1","0","0","0"
"149","16","1","0","1","0","0","0","0","0","0","0"
"150","16","0","0","0","0","0","0","1","0","0","0"
"151","15","0","0","0","0","0","0","0","0","0","0"
"152","15","0","0","0","0","0","0","1","0","0","0"
"153","14","0","0","0","0","0","0","0","0","0","0"
