level,playing_users,lost_heart_not_out_users,lost_heart_not_out_won,lost_heart_not_out_dropped_cohort,lost_heart_not_out_dropped_realtime,total_out_of_lives_users,out_of_lives_returned_users,out_of_lives_churned_cohort,out_of_lives_churned_realtime,win_dropped_users_cohort,lose_dropped_users_cohort,win_dropped_users_realtime,lose_dropped_users_realtime
1,2466,11,7,4,4,1,1,0,0,9,37,9,37
2,2419,16,14,2,2,1,1,0,0,5,27,5,27
3,2387,22,21,1,1,1,1,0,0,3,8,3,8
4,2375,55,51,4,4,0,0,0,0,7,52,7,52
5,2316,114,95,18,19,13,2,6,6,58,67,58,70
6,2197,154,125,29,29,32,7,19,21,40,119,41,120
7,2038,121,121,0,0,9,3,1,1,21,16,21,17
8,2002,114,113,1,1,11,6,3,3,35,31,35,31
9,1934,132,131,1,1,9,5,1,1,22,21,22,22
10,1890,81,74,7,7,7,4,3,3,36,42,36,42
11,1813,169,169,0,0,9,6,1,1,43,5,43,5
12,1763,174,168,6,6,12,6,1,1,24,16,24,16
13,1722,163,162,1,1,9,4,1,1,19,4,20,4
14,1698,195,190,5,5,13,5,0,0,25,21,26,21
15,1651,188,188,0,0,8,3,0,0,155,2,155,3
16,1492,200,190,10,10,14,5,2,2,117,25,122,26
17,1344,161,161,0,0,8,3,1,1,66,6,67,6
18,1273,168,162,5,5,9,3,0,0,83,17,83,17
19,1175,179,173,5,5,11,3,4,4,59,18,60,18
20,1098,168,161,6,7,7,3,0,0,62,12,65,13
21,1020,165,160,4,4,12,6,1,1,39,12,43,13
22,968,166,163,3,3,16,7,1,1,46,13,49,13
23,906,147,147,0,0,10,3,2,2,34,5,35,5
24,863,173,169,3,4,14,6,1,1,26,7,33,9
25,826,282,209,67,71,78,35,28,31,20,138,22,151
26,651,198,192,3,4,13,8,0,0,19,7,19,8
27,622,176,175,1,1,13,8,0,0,15,1,16,1
28,604,173,170,2,3,15,8,1,1,14,3,14,4
29,589,159,158,1,1,13,6,0,0,6,2,6,2
30,580,181,179,2,2,23,8,1,1,20,3,20,3
31,556,148,145,2,2,15,7,1,1,13,2,14,2
32,541,139,138,1,1,13,7,1,1,6,2,8,2
33,530,133,132,1,1,12,6,0,0,10,2,10,2
34,518,120,120,0,0,10,5,1,1,11,0,12,0
35,508,141,135,4,4,18,6,3,4,15,10,16,11
36,481,133,131,2,2,10,2,0,0,9,5,11,5
37,466,121,121,0,0,5,0,0,0,8,1,9,1
38,455,117,115,1,1,6,0,0,0,5,1,7,1
39,448,114,113,1,1,9,3,0,0,8,4,9,4
40,436,172,146,23,26,59,23,20,22,11,48,11,55
41,371,172,158,13,13,30,16,9,9,6,30,6,30
42,334,137,134,2,2,21,14,1,1,3,4,4,4
43,325,137,135,0,1,23,13,0,0,8,4,8,6
44,313,125,68,42,56,106,45,49,63,3,114,4,145
45,164,64,63,1,1,11,7,0,0,2,1,2,1
46,161,56,56,0,0,11,7,0,0,0,0,0,0
47,161,54,54,0,0,12,6,0,0,3,1,3,1
48,157,51,51,0,0,14,8,0,0,1,2,2,2
49,153,51,48,1,2,11,5,2,3,1,5,2,7
50,143,47,44,2,2,6,6,0,0,4,2,5,2
51,135,41,40,1,1,5,5,0,0,2,3,2,3
52,130,37,37,0,0,3,3,0,0,0,0,0,0
53,129,36,35,0,0,2,2,0,0,2,0,2,0
54,127,38,38,0,0,3,3,0,0,1,0,2,0
55,125,33,33,0,0,2,2,0,0,0,0,0,0
56,125,32,32,0,0,4,2,0,1,1,0,3,1
57,121,31,31,0,0,2,1,0,0,0,0,1,0
58,123,36,34,1,1,5,1,3,3,3,4,4,5
59,114,35,32,0,1,7,5,1,1,2,4,2,5
60,107,29,28,0,0,8,6,1,1,1,2,1,3
61,102,23,22,1,1,4,3,0,0,1,1,1,1
62,101,25,25,0,0,4,3,0,0,1,0,1,0
63,100,23,23,0,0,3,2,0,0,3,0,4,0
64,95,17,17,0,0,3,2,0,0,0,0,1,0
65,94,19,17,0,1,6,3,0,0,0,0,1,1
66,92,21,21,0,0,4,2,1,1,1,1,1,1
67,90,19,19,0,0,4,2,0,0,0,0,0,0
68,89,21,21,0,0,3,2,0,0,1,0,1,0
69,89,23,22,0,0,3,2,0,0,2,0,3,0
70,87,28,26,2,2,5,4,1,1,0,4,0,5
71,82,21,21,0,0,0,0,0,0,0,0,0,0
72,80,17,17,0,0,0,0,0,0,0,0,0,0
73,82,18,18,0,0,2,2,0,0,3,0,3,0
74,79,27,25,1,2,4,4,0,0,3,1,3,3
75,73,18,18,0,0,7,7,0,0,3,0,3,0
76,70,15,15,0,0,3,3,0,0,2,0,3,0
77,67,16,16,0,0,1,1,0,0,1,0,2,0
78,64,12,12,0,0,2,2,0,0,0,0,1,0
79,62,9,9,0,0,2,2,0,0,0,0,0,0
80,64,23,17,5,6,12,9,1,2,1,11,1,13
81,49,10,10,0,0,3,3,0,0,0,1,0,1
