level,playing_user,funnel_rate,funnel_rate_sanity,avg_attempts,1st_attempts_win,level_pass_rate,level_continue_rate,level_fail_rate,win_dropped_users_cohort,lose_dropped_users_cohort,win_dropped_users_realtime,lose_dropped_users_realtime,avg_booster_usage,avg_progress,ad_revenue,ad_rw_revenue,ad_is_revenue,iap_revenue,arpu,ad_arpu,rw_imp,is_imp,cum_avg_rw_imp,cum_avg_is_imp,paying_user,rw_star_imp,rw_coin_imp,rw_heart_imp,rw_hint_booster_imp,rw_eraser_booster_imp,rw_wand_booster_imp,rw_grid_booster_imp,total_duration,median_duration,win_duration_p50,win_duration_p75,win_duration_p90,win_duration_avg,lose_duration_p50,lose_duration_p75,lose_duration_p90,lose_duration_avg,replay_rate,us_playing_user,de_playing_user,jp_playing_user,ru_playing_user,br_playing_user,tr_playing_user,es_playing_user,fr_playing_user,mx_playing_user,us_rw_imp,de_rw_imp,jp_rw_imp,ru_rw_imp,br_rw_imp,tr_rw_imp,es_rw_imp,fr_rw_imp,mx_rw_imp,us_is_imp,de_is_imp,jp_is_imp,ru_is_imp,br_is_imp,tr_is_imp,es_is_imp,fr_is_imp,mx_is_imp,t1_rw_user,t2_rw_user,t1_is_user,t2_is_user,resource_source_hint,resource_source_wand,resource_source_grid,resource_source_eraser,resource_sink_hint,resource_sink_wand,resource_sink_grid,resource_sink_eraser,avg_res_src_hint,avg_res_src_wand,avg_res_src_grid,avg_res_src_eraser,avg_res_sink_hint,avg_res_sink_wand,avg_res_sink_grid,avg_res_sink_eraser
1,2463,0.9707,0.9636,1.01,0.9817,0.9874,0.9951,0.014,8,5,8,6,0.0012,2.83,0.0164,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,17318,4,4,5,9,7.11,0,0,0,0.63,0.0085,199,185,56,215,212,90,51,87,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0
2,2425,0.9558,0.9487,1.01,0.9819,0.988,0.9942,0.0094,6,5,6,5,0.0,2.87,0.0335,0.011,0,0,0,0,1,0,0.0004,0.0,0,0,0,0,0,0,0,0,9169,2,2,4,6,3.82,0,0,4,0.91,0.0074,198,184,54,214,209,88,51,86,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2391,0.9425,0.9354,1.01,0.9912,0.9962,0.9983,0.0054,3,1,3,1,0.0,19.23,2.2245,0,0,0,0.0009,0.0009,0,0,0.0004,0.0,0,0,0,0,0,0,0,0,10546,3,3,4,7,4.35,0,0,29,13.85,0.0054,195,185,54,213,207,84,50,86,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2379,0.9382,0.9308,1.03,0.9588,0.979,0.9948,0.0278,7,6,7,7,1.0054,6.76,2.3635,0.2706,0,0,0.001,0.001,10,0,0.0043,0.0,0,2,0,0,7,0,0,0,48542,18,18,22,28,20.58,0,17,26,7.99,0.024,194,185,54,213,207,83,50,86,69,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2362,0,0,0,2389,0,0,0,0.9929,0.0,0.0,0.0,1.0042,0.0,0.0,0.0
5,2323,0.9171,0.9088,1.1,0.9311,0.9716,0.9508,0.0912,52,27,52,30,0.0449,20.67,22.2805,19.5224,0,0,0.0096,0.0096,262,0,0.1068,0.0,0,25,226,0,6,0,0,0,52241,18,18,24,32,20.79,16,25,41,22.55,0.0534,191,180,54,210,196,83,50,85,67,17,11,9,17,30,6,6,14,10,0,0,0,0,0,0,0,0,0,37,80,0,0,1,0,0,0,68,0,0,0,0.0004,0.0,0.0,0.0,0.0293,0.0,0.0,0.0
6,2210,0.8705,0.8646,1.19,0.8887,0.9439,0.9559,0.1708,38,52,39,58,1.0784,41.87,22.3097,19.2745,0,0,0.0101,0.0101,224,0,0.1944,0.0,0,74,131,1,7,0,0,0,105633,38,39,48,60,43.82,28,44,58,31.31,0.0792,184,180,51,202,180,81,49,81,64,15,11,9,16,33,6,2,11,8,0,0,0,0,0,0,0,0,0,32,59,0,0,2,0,2194,0,58,0,2288,0,0.0009,0.0,0.9928,0.0,0.0262,0.0,1.0353,0.0
7,2054,0.8079,0.8036,1.02,0.9752,0.9917,0.975,0.0247,17,3,18,5,0.0143,25.1,7.1732,6.2688,0,0,0.0035,0.0035,105,0,0.2355,0.0,0,7,93,0,3,0,0,0,31366,13,13,17,22,14.97,12,22,31,15.85,0.02,174,173,47,193,163,71,48,81,60,6,6,6,7,6,1,5,10,5,0,0,0,0,0,0,0,0,0,18,34,0,0,0,1,0,0,13,1,14,0,0.0,0.0005,0.0,0.0,0.0063,0.0005,0.0068,0.0
8,2021,0.7946,0.7907,1.03,0.9668,0.9832,0.9612,0.0293,31,3,32,4,0.9673,26.33,9.7211,8.3989,0,0,0.0048,0.0048,114,0,0.2801,0.0,0,8,97,0,3,3,0,0,66509,28,28,33,41,33.11,0,11,41,11.7,0.0173,174,172,46,191,162,71,45,76,60,12,7,6,7,4,5,0,8,2,0,0,0,0,0,0,0,0,0,24,26,0,0,0,0,0,2016,16,0,21,1906,0.0,0.0,0.0,0.9975,0.0079,0.0,0.0104,0.9431
9,1955,0.7692,0.7649,1.05,0.956,0.9893,0.9674,0.0463,22,2,24,2,0.0379,41.89,9.7506,8.3947,0,0,0.005,0.005,108,0,0.3224,0.0,0,21,76,0,7,1,0,0,66312,28,28,36,47,33.08,22,39,52,24.27,0.0348,169,167,44,185,155,69,44,75,57,8,8,8,6,8,6,0,8,2,0,0,0,0,0,0,0,0,0,20,26,0,0,1,0,0,1,25,0,30,19,0.0005,0.0,0.0,0.0005,0.0128,0.0,0.0153,0.0097
10,1910,0.7516,0.7473,1.07,0.9293,0.9775,0.9416,0.0662,27,10,27,11,0.0605,45.91,13.2291,11.8457,0,0,0.0069,0.0069,151,0,0.3815,0.0,0,54,83,0,5,8,0,0,77552,33,33,42,54,39.95,15,33,43,18.23,0.0576,165,163,43,181,151,69,44,74,56,19,11,8,9,22,4,1,10,5,0,0,0,0,0,0,0,0,0,33,42,0,0,2,1,0,4,18,1,35,40,0.001,0.0005,0.0,0.0021,0.0094,0.0005,0.0183,0.0209
