install_date,country_code,media_source,campaign_name,total_cohort_users,cohort_ad_spend,avg_cpi,retention_r1,retention_r3,retention_r7,retention_r14,retention_r30,sumR3,sumR7,sumR14,sumR30,ltv_d0,ltv_d1,ltv_d3,ltv_d7,ltv_d14,ltv_d30,roas_d0,roas_d1,roas_d3,roas_d7,roas_d14,roas_d30
2026-06-22,AR,(organic),(organic),2,,,,,,,,,,,,0,,,,,,,,,,,
2026-06-22,AR,applovin,SnakeGo_A_Global_AdROASD7_120326,1,,,,,,,,,,,,1.7447,,,,,,,,,,,
2026-06-22,AR,google_ads,SnakeGo_A_Global_AdROAS_220126,2,,,,,,,,,,,,0.0974,,,,,,,,,,,
2026-06-22,AT,applovin,SnakeGo_A_Global_AdROASD7_120326,1,,,,,,,,,,,,0.0127,,,,,,,,,,,
2026-06-22,AT,google_ads,SnakeGo_A_Global_AdROAS_220126,1,,,,,,,,,,,,0.2566,,,,,,,,,,,
2026-06-22,AZ,google_ads,SnakeGo_A_Global_AdROAS_220126,2,,,,,,,,,,,,0.0222,,,,,,,,,,,
2026-06-22,BD,google_ads,SnakeGo_A_Global_AdROAS_160626_[MAX],1,,,,,,,,,,,,0.0385,,,,,,,,,,,
2026-06-22,BE,google_ads,SnakeGo_A_Global_AdROAS_220126,2,,,,,,,,,,,,0.1201,,,,,,,,,,,
2026-06-22,BG,google_ads,SnakeGo_A_Global_AdROAS_220126,1,,,,,,,,,,,,0.0249,,,,,,,,,,,
2026-06-22,BO,google_ads,SnakeGo_A_Global_AdROAS_220126,1,,,,,,,,,,,,0.0003,,,,,,,,,,,
2026-06-22,BO,organic,(organic),1,,,,,,,,,,,,0,,,,,,,,,,,
2026-06-22,BR,(organic),(organic),2,,,,,,,,,,,,0,,,,,,,,,,,
2026-06-22,BR,google_ads,SnakeGo_A_Global_AdROAS_220126,20,,,,,,,,,,,,0.1907,,,,,,,,,,,
2026-06-22,BR,organic,(organic),3,,,,,,,,,,,,0.0004,,,,,,,,,,,
2026-06-22,BR,unity_ads,SnakeGo_A_Tier3_AdROASD7_120326,2,,,,,,,,,,,,0.3471,,,,,,,,,,,
2026-06-22,BY,google_ads,SnakeGo_A_Global_AdROAS_220126,2,,,,,,,,,,,,0.0153,,,,,,,,,,,
2026-06-22,CA,applovin,SnakeGo_A_Global_AdROASD7_120326,1,,,,,,,,,,,,0.0019,,,,,,,,,,,
2026-06-22,CA,unity_ads,SnakeGo_A_Tier1_AdROASD0_160626,1,,,,,,,,,,,,0.157,,,,,,,,,,,
2026-06-22,CH,unity_ads,SnakeGo_A_Tier1_AdROASD28_170626,2,,,,,,,,,,,,0.6293,,,,,,,,,,,
2026-06-22,CL,google_ads,SnakeGo_A_Global_AdROAS_220126,4,,,,,,,,,,,,0.0791,,,,,,,,,,,
2026-06-22,CO,(organic),(organic),1,,,,,,,,,,,,0.0486,,,,,,,,,,,
2026-06-22,CO,google_ads,SnakeGo_A_Global_AdROAS_220126,7,,,,,,,,,,,,0.0474,,,,,,,,,,,
