install_date,country_code,media_source,campaign_name,total_cohort_users,cohort_ad_spend,avg_cpi,ltv_d7,ltv_d30,roas_d7,roas_d30
2026-06-22,IN,unity_ads,SnakeGo_A_IN_CreativeTesting_170326,215,,,,,,
2026-06-22,TW,google_ads,SnakeGo_A_Global_AdROAS_220126,1,,,,,,
2026-06-22,IN,(organic),(organic),58,,,,,,
2026-06-22,FR,google_ads,SnakeGo_A_Global_AdROAS_220126,8,,,,,,
2026-06-22,TR,google_ads,SnakeGo_A_Global_AdROAS_220126,12,,,,,,
2026-06-22,ID,google_ads,SnakeGo_A_Global_AdROAS_220126,4,,,,,,
2026-06-22,CL,google_ads,SnakeGo_A_Global_AdROAS_220126,4,,,,,,
2026-06-22,VE,google_ads,SnakeGo_A_Global_AdROAS_220126,3,,,,,,
2026-06-22,AT,google_ads,SnakeGo_A_Global_AdROAS_220126,1,,,,,,
2026-06-22,BR,organic,(organic),3,,,,,,
2026-06-22,JP,applovin,SnakeGo_A_Global_AdROASD7_120326,3,,,,,,
2026-06-22,MX,(organic),(organic),2,,,,,,
2026-06-22,KR,applovin,SnakeGo_A_Global_AdROASD7_120326,8,,,,,,
2026-06-22,BR,google_ads,SnakeGo_A_Global_AdROAS_220126,20,,,,,,
2026-06-22,BR,unity_ads,SnakeGo_A_Tier3_AdROASD7_120326,2,,,,,,
2026-06-22,US,google_ads,SnakeGo_A_Global_AdROAS_160626_[MAX],2,,,,,,
2026-06-22,DE,google_ads,SnakeGo_A_Global_AdROAS_220126,9,,,,,,
2026-06-22,US,unity_ads,SnakeGo_A_US_AdROASD28_170626,2,,,,,,
2026-06-22,FR,applovin,SnakeGo_A_Global_AdROASD7_120326,2,,,,,,
2026-06-22,IN,organic,(organic),3,,,,,,
2026-06-22,BO,organic,(organic),1,,,,,,
2026-06-22,US,(organic),(organic),1,,,,,,
2026-06-22,DO,(organic),(organic),1,,,,,,
2026-06-22,IT,google_ads,SnakeGo_A_Global_AdROAS_220126,1,,,,,,
