"event_date","event_timestamp","event_name","user_pseudo_id","session_number","app_version","first_app_version","install_date","install_country","media_source","install_cpi","level","step","level_success","attempts","reason","play_mode","use_booster","continue_type","progress","event_value","ad_format","ad_network","placement","ad_duration","iap_package_id","iap_status","transaction_id","resource_name","resource_amount","resource_balance","resource_item","ab_test_summary","skl_profile","country_code","extra_params"
"2026-06-17","2026-06-17 21:29:34.899743 UTC","session_start","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","exp15=0","0","BR","","","","","","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:29:38.134309 UTC","app_launch","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","exp15=0","0","BR","","","","","","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:29:38.134310 UTC","app_init","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","exp15=0","0","BR","","","","","","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:29:38.773399 UTC","load_start","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","exp15=0","0","BR","","","","","","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:29:39.704587 UTC","resource_source","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","36","MainGame","Heart","3","2","Free","exp15=0","0","BR","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:29:43.987587 UTC","load_end","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","exp15=0","0","BR","","","","","","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:29:43.989588 UTC","load_save","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","exp15=0","0","BR","","","","","","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:29:46.750589 UTC","app_ready","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","exp15=0","0","BR","","","","","","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:29:50.339590 UTC","resource_sink","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","MainGame","Heart","1","5","ViewHome_Play","exp15=0","0","BR","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:29:51.029592 UTC","skl_ad_request","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","MainGame","Rewarded","exp15=0","0","BR","","","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:29:54.591589 UTC","level_start","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","1","MainGame","exp15=0","0","BR","","","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:29:56.225592 UTC","skl_ad_response","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","1","MainGame","Banner","Mintegral","exp15=0","0","BR","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:29:56.261593 UTC","skl_ad_request","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","MainGame","Interstitial","exp15=0","0","BR","","","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:29:56.464595 UTC","ad_revenue_sdk","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","MainGame","0.0000638","Banner","Mintegral","ViewMainGame","exp15=0","0","BR","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:30:05.029588 UTC","skl_ad_response","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","1","MainGame","Rewarded","Unity Ads","exp15=0","0","BR","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:30:07.406589 UTC","skl_ad_response","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","1","MainGame","Interstitial","Unity Ads","exp15=0","0","BR","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:30:23.067592 UTC","skl_ad_response","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","1","MainGame","Banner","Google AdMob","exp15=0","0","BR","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:30:23.345594 UTC","ad_revenue_sdk","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","MainGame","0.000060987","Banner","Google AdMob","ViewMainGame","exp15=0","0","BR","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:30:38.012590 UTC","skl_ad_response","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","1","MainGame","Banner","Google AdMob","exp15=0","0","BR","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:30:38.364592 UTC","ad_revenue_sdk","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","MainGame","0.000066193","Banner","Google AdMob","ViewMainGame","exp15=0","0","BR","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:30:53.066590 UTC","skl_ad_response","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","1","MainGame","Banner","Google AdMob","exp15=0","0","BR","","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:30:53.365592 UTC","ad_revenue_sdk","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","MainGame","0.000044494","Banner","Google AdMob","ViewMainGame","exp15=0","0","BR","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:31:04.989589 UTC","resource_source","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","MainGame","Coin","5","280","ViewMainGame_Result_Next","exp15=0","0","BR","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:31:04.991590 UTC","resource_source","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","MainGame","Heart","1","4","ViewMainGame_Result","exp15=0","0","BR","","","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:31:05.005591 UTC","level_end","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","1","1","Win","MainGame","0","100","0","exp15=0","0","BR","","","","","","","","","","","","","",""
"2026-06-17","2026-06-17 21:31:08.051593 UTC","skl_ad_response","027eac9c2b027b949d9c10b7e41943dd","14","1.1.0","1.1.0","2026-06-05","BR","google_ads","0.369805556","37","1","MainGame","Banner","Google AdMob","exp15=0","0","BR","","","","","","","","","","","","","","","","",""
